id	x	y
378	-4.9967904	13.496565
379	14.047738	-13.915655
380	-7.041462	15.773893
381	32.845196	-11.157937
382	-25.121927	9.822774
383	-10.217715	16.197418
384	15.1138115	-14.092404
385	21.119785	-18.544796
386	-16.917028	11.580497
387	36.429398	-14.653473
388	-5.8257275	10.680504
389	-16.049269	3.724051
390	-15.462914	26.903461
391	-14.200574	19.040867
392	-17.052103	8.919749
393	-0.47826868	-4.667508
394	-16.521128	15.512405
395	17.41337	-6.668679
396	-16.282389	20.093304
397	-18.560822	14.15739
398	13.574192	-9.971661
399	1.0228586	-6.1105137
400	20.549921	-11.51849
401	-6.1323967	8.363877
402	14.364533	-8.637055
403	9.706927	-5.9887295
404	19.925343	-5.962332
405	14.752615	-7.2336254
406	27.516376	-8.0296
407	31.813957	-14.48267
408	-17.914019	1.3646576
409	18.77454	-6.1219554
410	29.546314	-11.702069
411	28.538696	-11.910275
412	3.1384323	-7.588028
413	-17.831545	15.941725
414	29.8572	-15.159007
415	-16.86247	3.13582
416	-15.92548	1.6911625
417	-19.46994	22.441101
418	9.778515	-10.459653
419	24.516094	-15.548259
420	31.177237	-16.12688
421	31.035711	-16.345943
422	-1.5189718	4.0156755
423	-17.715757	20.924126
424	1.9921141	-3.296714
425	26.309631	-10.012974
426	-20.5354	21.625614
427	-21.21485	13.192227
428	-21.710903	22.68427
429	-17.717342	5.4858317
430	31.741276	-11.298423
431	-19.755615	23.761812
432	-1.4859142	-12.557718
433	-19.131065	23.386683
434	26.498161	-15.067622
435	-13.639569	6.9464855
436	30.739456	-13.3544
437	-14.71161	6.0194726
438	-2.1167593	-1.4429014
439	-18.76926	13.098363
440	13.572631	-13.227647
441	-18.834904	11.6343
442	-5.3410816	19.955935
443	16.290802	-3.3302257
444	7.8919992	1.6229682
445	0.015520755	-5.3117986
446	-15.097233	6.2581277
447	23.161339	-10.306281
448	-2.2534938	-9.520961
449	-14.966769	-0.036290474
450	26.429672	-14.960501
451	1.2754135	-4.634782
452	-20.820555	23.58454
453	34.63963	-10.43137
454	21.51673	-22.798475
455	-20.49941	27.183886
456	26.669172	-8.391853
457	-20.933336	21.667706
458	-10.945039	11.474312
459	-10.417518	11.205559
460	12.520236	-2.4193087
461	16.171473	-3.3451633
462	-3.1154583	7.976298
463	16.271276	-23.075619
464	16.9295	-11.754693
465	-8.779302	2.914915
466	0.16371092	0.19481547
467	20.137718	-7.8013473
468	29.797377	-19.29072
